week,home_team,home_score,vis,vis_score,home_win,winner,loser,home_yards,vis_yards,point_dif
10,NYG,24,HOU,16,1,NYG,HOU,367,387,8
10,CHI,30,DET,31,0,DET,CHI,408,323,1
10,KAN,27,JAC,17,1,KAN,JAC,486,315,10
10,PIT,20,NO,10,1,PIT,NO,379,186,10
10,LVR,20,IND,25,0,IND,LVR,309,415,5
10,GB,31,DAL,28,1,GB,DAL,415,421,3
10,LAR,17,ARI,27,0,ARI,LAR,256,298,10
10,SAN,22,LAC,16,1,SAN,LAC,387,238,6
10,PHI,21,WAS,32,0,WAS,PHI,264,330,11
11,GB,17,TEN,27,0,TEN,GB,271,408,10
11,BUF,31,CLE,23,1,BUF,CLE,357,396,8
11,NYG,18,DET,31,0,DET,NYG,413,325,13
11,HOU,10,WAS,23,0,WAS,HOU,148,344,13
11,NE,10,NYJ,3,1,NE,NYJ,297,103,7
11,ATL,27,CHI,24,1,ATL,CHI,280,288,3
11,BAL,13,CAR,3,1,BAL,CAR,308,205,10
11,IND,16,PHI,17,0,PHI,IND,284,314,1
11,NO,27,LAR,20,1,NO,LAR,323,336,7
11,DEN,16,LVR,22,0,LVR,DEN,320,407,6
11,PIT,30,CIN,37,0,CIN,PIT,351,408,7
11,MIN,3,DAL,40,0,DAL,MIN,183,458,37
11,LAC,27,KAN,30,0,KAN,LAC,365,485,3
11,ARI,10,SAN,38,0,SAN,ARI,314,387,28
12,DET,25,BUF,28,0,BUF,DET,326,401,3
12,DAL,28,NYG,20,1,DAL,NYG,430,300,8
12,MIN,33,NE,26,1,MIN,NE,358,409,7
12,TEN,16,CIN,20,0,CIN,TEN,344,374,4
12,CLE,23,TB,17,1,CLE,TB,367,325,6
12,MIA,30,HOU,15,1,MIA,HOU,339,210,15
12,JAC,28,BAL,27,1,JAC,BAL,332,415,1
12,WAS,19,ATL,13,1,WAS,ATL,314,332,6
12,CAR,23,DEN,10,1,CAR,DEN,349,246,13
12,NYJ,31,CHI,10,1,NYJ,CHI,466,292,21
12,SEA,34,LVR,40,0,LVR,SEA,372,576,6
12,ARI,24,LAC,25,0,LAC,ARI,366,311,1
12,KAN,26,LAR,10,1,KAN,LAR,437,198,16
12,SAN,13,NO,0,1,SAN,NO,317,260,13
12,PHI,40,GB,33,1,PHI,GB,500,342,7
12,IND,17,PIT,24,0,PIT,IND,290,323,7
13,NE,10,BUF,24,0,BUF,NE,242,355,14
13,HOU,14,CLE,27,0,CLE,HOU,283,304,13
13,BAL,10,DEN,9,1,BAL,DEN,285,272,1
13,DET,40,JAC,14,1,DET,JAC,437,266,26
13,MIN,27,NYJ,22,1,MIN,NYJ,287,486,5
13,NYG,20,WAS,20,0,WAS,NYG,316,411,0
13,PHI,35,TEN,10,1,PHI,TEN,453,209,25
13,ATL,16,PIT,19,0,PIT,ATL,306,351,3
13,CHI,19,GB,28,0,GB,CHI,409,357,9
13,SAN,33,MIA,17,1,SAN,MIA,351,308,16
13,LAR,23,SEA,27,0,SEA,LAR,319,438,4
13,CIN,27,KAN,24,1,CIN,KAN,431,349,3
13,LVR,27,LAC,20,1,LVR,LAC,404,386,7
13,DAL,54,IND,19,1,DAL,IND,385,309,35
13,TB,17,NO,16,1,TB,NO,350,298,1
14,LAR,17,LVR,16,1,LAR,LVR,282,302,1
14,BUF,20,NYJ,12,1,BUF,NYJ,232,309,8
14,CIN,23,CLE,10,1,CIN,CLE,363,344,13
14,DAL,27,HOU,23,1,DAL,HOU,404,327,4
14,DET,34,MIN,23,1,DET,MIN,464,416,11
14,TEN,22,JAC,36,0,JAC,TEN,364,428,14
14,NYG,22,PHI,48,0,PHI,NYG,304,437,26
14,PIT,14,BAL,16,0,BAL,PIT,329,309,2
14,DEN,28,KAN,34,0,KAN,DEN,320,431,6
14,SEA,24,CAR,30,0,CAR,SEA,287,328,6
14,SAN,35,TB,7,1,SAN,TB,404,322,28
14,LAC,23,MIA,17,1,LAC,MIA,432,219,6
14,ARI,13,NE,27,0,NE,ARI,323,328,14
15,SEA,13,SAN,21,0,SAN,SEA,277,381,8
15,MIN,39,IND,36,1,MIN,IND,518,341,3
15,CLE,13,BAL,3,1,CLE,BAL,283,324,10
15,BUF,32,MIA,29,1,BUF,MIA,446,405,3
15,NO,21,ATL,18,1,NO,ATL,348,320,3
15,CAR,16,PIT,24,0,PIT,CAR,209,325,8
15,CHI,20,PHI,25,0,PHI,CHI,248,421,5
15,JAC,40,DAL,34,1,JAC,DAL,503,397,6
15,NYJ,17,DET,20,0,DET,NYJ,337,359,3
15,HOU,24,KAN,30,0,KAN,HOU,219,502,6
15,DEN,24,ARI,15,1,DEN,ARI,324,240,9
15,LVR,30,NE,24,1,LVR,NE,308,318,6
15,TB,23,CIN,34,0,CIN,TB,396,237,11
15,LAC,17,TEN,14,1,LAC,TEN,365,284,3
15,WAS,12,NYG,20,0,NYG,WAS,387,288,8
15,GB,24,LAR,12,1,GB,LAR,345,156,12
16,NYJ,3,JAC,19,0,JAC,NYJ,227,365,16
16,BAL,17,ATL,9,1,BAL,ATL,299,327,8
16,CHI,13,BUF,35,0,BUF,CHI,209,426,22
16,CAR,37,DET,23,1,CAR,DET,570,381,14
16,NE,18,CIN,22,0,CIN,NE,285,442,4
16,CLE,10,NO,17,0,NO,CLE,249,244,7
16,TEN,14,HOU,19,0,HOU,TEN,272,285,5
16,KAN,24,SEA,10,1,KAN,SEA,297,333,14
16,MIN,27,NYG,24,1,MIN,NYG,353,445,3
16,SAN,37,WAS,20,1,SAN,WAS,371,349,17
16,DAL,40,PHI,34,1,DAL,PHI,419,442,6
16,PIT,13,LVR,10,1,PIT,LVR,350,201,3
16,MIA,20,GB,26,0,GB,MIA,376,301,6
16,LAR,51,DEN,14,1,LAR,DEN,388,323,37
16,ARI,16,TB,19,0,TB,ARI,325,396,3
16,IND,3,LAC,20,0,LAC,IND,173,314,17
17,TEN,13,DAL,27,0,DAL,TEN,317,361,14
17,ATL,20,ARI,19,1,ATL,ARI,298,339,1
17,TB,30,CAR,24,1,TB,CAR,478,400,6
17,DET,41,CHI,10,1,DET,CHI,504,230,31
17,WAS,10,CLE,24,0,CLE,WAS,260,301,14
17,NYG,38,IND,10,1,NYG,IND,394,252,28
